model,retrieval,prompt,EM,F1,latency,tokens
Qwen/Qwen2.5-0.5B,False,basic,57.8,65.71670741441288,13782.483284235,10377
Qwen/Qwen2.5-0.5B,False,structered,42.666666666666664,53.40043391423102,15872.260223150253,16449
Qwen/Qwen2.5-0.5B,True,basic,0.8,4.058668991478133,33911.65722870827,28585
Qwen/Qwen2.5-0.5B,True,basic,1.7333333333333334,5.253271837990908,10810.941781759262,21582
Qwen/Qwen2.5-0.5B,True,basic,1.7333333333333334,5.2532718379909085,16695.524809122086,21582
